dist,data
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4.5,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
4,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3.5,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
3,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
1,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.5,stereo-camera
0.2,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
0,stereo-camera
2.44,observer
0,observer
2.27,observer
2.53,observer
1.79,observer
1.53,observer
3,observer
1.1,observer
3.13,observer
1.8,observer
4.5,observer
6.3,observer
1.02,observer
0,observer
0,observer
2.51,observer
1.08,observer
2.06,observer
1.27,observer
6.27,observer
9.07,observer
0.7,observer
0.84,observer
1.01,observer
0,observer
1.44,observer
4.87,observer
3.03,observer
8.14,observer
1.53,observer
3.02,observer
2.77,observer
6.69,observer
3.58,observer
6.49,observer
0.66,observer
0,observer
1.96,observer
11,observer
3.65,observer
1.06,observer
3.86,observer
2.89,observer
11.59,observer
0.89,observer
2.74,observer
4.96,observer
1.59,observer
1,observer
1.39,observer
1.94,observer
3.24,observer
0.7,observer
7.88,observer
0.98,observer
1.32,observer
2.2,observer
0,observer
4.76,observer
0.93,observer
2.47,observer
5.6,observer
1.83,observer
0.58,observer
0.49,observer
7.68,observer
6.23,observer
0.8,observer
0,observer
0.5,observer
1.06,observer
0,observer
2.12,observer
1.04,observer
1.26,observer
0.58,observer
1.73,observer
0.65,observer
1.04,observer
2.29,observer
2.47,observer
2.07,observer
2.67,observer
1.42,observer
0,observer
0.63,observer
3.13,observer
2.08,observer
0.33,observer
2.1,observer
5.23,observer
0.5,observer
2.3,observer
2.83,observer
1.3,observer
2.89,observer
3.5,observer
2.62,observer
1.64,observer
7.92,observer
7.65,observer
2.02,observer
2.53,observer
0,observer
1.71,observer
6.61,observer
0.92,observer
5.31,observer
2.05,observer
3.49,observer
4.32,observer
1.09,observer
0.72,observer
2.18,observer
2.87,observer
2.38,observer
0.89,observer
4.01,observer
4.93,observer
0.78,observer
0.87,observer
1.35,observer
1.83,observer
3.65,observer
2,observer
1.05,observer
2.92,observer
0,observer
1.97,observer
5.03,observer
2.42,observer
3.69,observer
2.9,observer
5.83,observer
1.71,observer
3.28,observer
2.68,observer
0.94,observer
4.11,observer
4.24,observer
3.35,observer
2.68,observer
2.5,observer
1.97,observer
5.37,observer
5.77,observer
3.66,observer
0.46,observer
4.04,observer
4.59,observer
6.89,observer
2.7,observer
2.5,observer
2.22,observer
2.15,observer
2.73,observer
2.15,observer
0,observer
0,observer
3.3,observer
3.43,observer
3.53,observer
12.58,observer
3.46,observer
3.32,observer
6.35,observer
3.51,observer
1.64,observer
2.98,observer
1.73,observer
0.98,observer
0.95,observer
1.33,observer
0.62,observer
3,observer
2.4,observer
2.46,observer
3.73,observer
0.99,observer
14.98,observer
10.5,observer
0,observer
5.39,observer
0,observer
2.8,observer
3.69,observer
#VALUE!,observer
8.31,observer
#VALUE!,observer
3.06,observer
2.64,observer
0,observer
1.25,observer
6.35,observer
1.56,observer
0.59,observer
1.29,observer
0.66,observer
2.25,observer
2.14,observer
0,observer
1.77,observer
1.16,observer
0,observer
4.36,observer
0,observer
0,observer
1.53,observer
3.45,observer
4.04,observer
2.08,observer
3.51,observer
3.21,observer
2,observer
2.68,observer
4.05,observer
2.7,observer
3.58,observer
3.98,observer
2.8,observer
3.57,observer
2.24,observer
2.2,observer
1,observer
1.65,observer
0,observer
2.25,observer
2.72,observer
3.75,observer
3.27,observer
3.54,observer
2.69,observer
3.67,observer
4.36,observer
3.94,observer
2.14,observer
5.13,observer
5.82,observer
0,observer
2.81,observer
4.75,observer
2.5,observer
3.69,observer
2,observer
3.81,observer
3.55,observer
4.77,observer
4,observer
1.98,observer
4.53,observer
2.98,observer
1.66,observer
1.86,observer
3.66,observer
4.66,observer
3.92,observer
5.53,observer
3.22,observer
5.73,observer
4.17,observer
4.39,observer
2.4,observer
4.08,observer
1.89,observer
4.4,observer
1.23,observer
2.58,observer
3.25,observer
1.23,observer
0,observer
2.27,observer
0,observer
1.78,observer
1.22,observer
2.36,observer
3.14,observer
2.97,observer
3.73,observer
0,observer
3.32,observer
2.82,observer
1.53,observer
4.74,observer
2,observer
1.65,observer
2.76,observer
0,observer
0,observer
2.28,observer
1.74,observer
1.87,observer
3.5,observer
1.87,observer
1.27,observer
0,observer
0,observer
2.08,observer
0,observer
2.65,observer
4.2,observer
5.59,observer
0,observer
11.6,observer
0,observer
0,observer
2.17,observer
2.73,observer
2.44,observer
9.74,observer
1.5,observer
1.05,observer
0,observer
0,observer
0,observer
2.41,observer
7.22,observer
1.14,observer
6,observer
0,observer
1.9,observer
1.81,observer
6.03,observer
1.52,observer
7.82,observer
7.23,observer
7.03,observer
0,observer
1.94,observer
1.91,observer
3.68,observer
1.85,observer
3.2,observer
0,observer
3.57,observer
3.37,observer
1.85,observer
2.98,observer
1.9,observer
0,observer
2.78,observer
0,observer
0.86,observer
1.56,observer
1.64,observer
0,observer
3.67,observer
0,observer
4.25,observer
2.16,observer
2.89,observer
1.95,observer
2.39,observer
0.73,observer
1.57,observer
0.9,observer
0,observer
3.11,observer
1.89,observer
0,observer
3.37,observer
0,observer
3.86,observer
2.45,observer
1.24,observer
2.14,observer
2.4,observer
4.65,observer
3.02,observer
2.81,observer
3.48,observer
2.24,observer
1.02,observer
1.91,observer
1.9,observer
2.3,observer
1.52,observer
0,observer
4.14,observer
2.62,observer
1.25,observer
3.26,observer
3.9,observer
4.32,observer
3.9,observer
5.19,observer
5.1,observer
5.12,observer
4.92,observer
2.36,observer
2.69,observer
2.45,observer
3.98,observer
1.43,observer
1.62,observer
2.79,observer
2.34,observer
5.02,observer
2.95,observer
0,observer
0,observer
1.68,observer
4.34,observer
3.69,observer
1.27,observer
2.52,observer
5.35,observer
4.11,observer
2.86,observer
2.99,observer
1.23,observer
2.18,observer
0,observer
2.28,observer
1.16,observer
5.45,observer
2.04,observer
2.45,observer
4.72,observer
4.98,observer
2.95,observer
0,observer
2.02,observer
0,observer
6.05,observer
2.12,observer
3.18,observer