Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
March,3,14,15,Boat01,Left_14_20200326.MP4,37814,10.5144,0,35.039,119.887,4741.31,12.573,0,0,470.533,918.578,-4627.616,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Itchy,N,Bait couldn't be computed,H,S,N
March,3,14,15,Boat01,Left_14_20200326.MP4,39560,10.9999,630.559,18.79,111.886,3644.068,12.408,69.405,11.339,75.48,779.349,-3558.953,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,Taken from Pecotral to Bait Line,M,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,41209,11.4584,3132.9,24.975,48.003,3345.298,4.687,74.644,10.807,262.174,77.422,-3334.11,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,42565,11.8354,2078.386,34.773,60.049,4769.984,6.86,69.376,19.81,513.924,245.86,-4735.84,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,42899,11.9283,326.079,5.198,48.842,3797.684,1.513,17.946,49.02,74.571,-66.994,-3796.361,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326.MP4,43565,12.1135,2101.013,15.372,224.864,4366.675,10.637,47.335,52.6,637.079,-493.79,-4291.637,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,V,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,1736,12.6549,5231.616,10000.016,37.941,2011.723,5.707,81.628,0.051,190.356,61.5,-2001.752,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,3896,13.2555,497.692,5.503,90.529,3319.537,9.133,61.872,72.767,-344.599,398.571,-3277.456,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,4720,13.4846,2299.21,26.178,72.336,3737.834,9.59,78.024,5.958,-453.433,426.847,-3685.594,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Scratchy,N,Taken to Bait Line - cant compute,M,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,15533,16.4912,2826.465,10000.036,24.731,945.56,28.618,78.799,1.929,-439.134,110.794,-830.043,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,16243,16.6886,1296.54,36.635,78.599,4958.994,12.118,69.004,3.891,844.422,608.85,-4848.492,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,17514,17.042,2888.06,21.436,200.592,3266.682,10.022,73.007,19.127,-164.207,-544.246,-3216.838,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,19486,17.5904,3498.196,69.799,261.16,7430.313,15.725,52.032,24.351,1951.241,-497.699,-7152.238,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,H,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,22303,18.3736,2621.552,33.556,208.851,4737.156,11.845,75.7,30.264,479.178,846.125,-4636.282,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,26529,19.5487,1636.705,27.027,150.529,4366.964,9.002,85.963,31.536,-240.583,639.573,-4313.171,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,28902,20.2085,7915.732,8972.524,42.267,4357.015,11.257,74.352,0.756,839.668,135.554,-4273.192,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,S,N
March,3,14,15,Boat01,Left_14_20200326_1.MP4,31825,21.0213,7651.937,150.48,268.423,8606.403,14.843,64.502,4.654,1917.207,1088.505,-8319.233,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,15,16,Boat01,Left_15_20200326.MP4,19804,5.5066,2022.599,21.242,238.125,4591.299,9.694,54.81,43.216,575.952,-515.739,-4525.74,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,15,16,Boat01,Left_15_20200326.MP4,29871,8.3058,2526.012,36.354,130.688,4740.516,3.241,67.109,16.56,241.512,-116.123,-4732.935,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Kachow,N,reaction - very quick head move,H,S,Y
March,3,15,16,Boat01,Left_15_20200326.MP4,33849,9.4119,0,35.338,37.596,4718.151,1.746,0,0,138.672,-37.841,-4715.961,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Kachow,N,,H,D,N
March,3,15,16,Boat01,Left_15_20200326.MP4,36871,10.2522,1708.487,33.858,210.335,5556.973,11.266,79.199,46.694,524.831,950.314,-5449.9,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,15,16,Boat01,Left_15_20200326.MP4,37261,10.3606,6613.572,108.393,435.939,7548.489,13.599,66.27,19.447,1524.449,-908.886,-7336.871,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Kachow,N,,H,D,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,2713,12.8286,923.649,25.229,81.186,4658.742,6.099,88.848,43.401,310.022,385.843,-4632.374,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,4732,13.39,5314.322,80.195,382.338,6829.565,17.426,63.898,21.625,1459.611,1432.739,-6516.115,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,S,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,14800,16.1895,2051.427,34.472,103.225,4990.478,8.288,72.198,30.936,589.526,412.288,-4938.354,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,Taken from Tail,M,S,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,14800,16.1895,3485.987,35.357,103.521,4232.006,9.744,69.057,8.806,243.396,673.608,-4170.958,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,Taken from Tail,M,S,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,17081,16.8238,4324.919,79.344,102.635,6638.144,10.826,68.067,6.838,1227.705,-217.651,-6519.994,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,19078,17.379,1087.762,12.072,137.943,3204.03,5.953,89.43,45.035,-57.805,-327.232,-3186.751,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,15,16,Boat01,Left_15_20200326_1.MP4,20400,17.7466,715.588,6.356,113.211,3680.785,8.427,24.51,52.681,-348.32,411.907,-3641.042,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Itchy,N,,M,S,N
April,4,1b,17,Boat01,R1b_20200411_left.MP4,13630,3.7899,2176.948,25.556,94.254,5423.334,11.169,43.78,42.184,100.509,-1045.66,-5320.624,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 1,N,,M,D,N
April,4,1b,17,Boat01,R1b_20200411_left.MP4,28820,8.0136,2873.539,49.718,98.786,6097.791,6.847,50.267,0.942,271.346,-674.473,-6054.297,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 1,N,,M,D,N
April,4,1b,17,Boat01,R1b_20200411_left.MP4,30310,8.4279,2378.213,64.542,150.56,6206.485,4.286,80.604,9.338,-327.111,-328.907,-6189.125,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 1,N,,M,S,N
April,4,2b,18,Control,R2b_20200411_left(2).MP4,5806,13.6887,888.754,26.722,72.364,4187.719,9.97,73.016,2.077,283.3,-667.411,-4124.475,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 2,N,,M,V,N
April,4,2b,18,Control,R2b_20200411_left(2).MP4,9355,14.6755,3809.224,42.719,108.731,5959.235,13.063,35.261,7.26,1271.035,-445.706,-5805.024,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 2,N,,L,D,N
April,4,2b,18,Control,R2b_20200411_left(2).MP4,10033,14.864,4005.31,59.292,117.618,6352.59,17.153,45.518,6.134,1769.185,-616.466,-6070.037,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 2,N,,M,D,N
April,4,2b,18,Control,R2b_20200411_left(2).MP4,10499,14.9936,4927.029,84.717,145.718,6962.445,19.171,47.662,5.96,2248.532,-414.048,-6576.345,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 2,N,,M,D,N
April,4,2b,18,Control,R2b_20200411_left.MP4,27757,7.718,783.417,34.454,82.876,4901.324,5.83,64.667,3.377,-215.051,-449.041,-4875.971,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 1,N,,M,V,N
April,4,2b,18,Control,R2b_20200411_left.MP4,29378,8.1687,872.823,13.519,83.755,4704.872,18.631,12.86,11.622,-1391.381,-568.586,-4458.317,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 1,N,Reaction - quick turn away?,M,D,Y
April,4,2b,18,Control,R2b_20200411_left.MP4,30179,8.3914,1345.051,40.87,94.056,5090.693,13.993,84.891,0.452,160.559,-1220.43,-4939.628,BH,20200616,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 1,N,,M,D,N
April,4,1,19,Boat01,R1_20200412_3F_left(2).MP4,3969,13.08,1827.576,46.917,21.661,5566.135,11.349,68.813,9.958,858.035,-680.891,-5457.291,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,Reaction - quick flick of head,H,D,Y
April,4,1,19,Boat01,R1_20200412_3F_left(2).MP4,11566,15.1924,3653.272,8357.027,8.686,2250.477,7.964,77.964,4.467,267.039,-160.98,-2228.771,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,H,D,N
April,4,1,19,Boat01,R1_20200412_3F_left.MP4,35330,9.8237,1996.726,29.666,5.815,4866.929,10.647,60.425,31.046,-868.822,231.666,-4783.145,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,H,D,N
April,4,1,19,Boat01,R1_20200412_3F_left.MP4,37836,10.5205,1050.262,32.953,4.963,4720.938,15.199,87.522,14.515,-162.716,1226.946,-4555.807,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,H,S,N
April,4,2,20,Control,R1_20200412_3F_left(2).MP4,35279,21.7859,2924.233,50.392,10.884,5375.006,6.594,86.573,18.673,-101.263,-608.857,-5339.45,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,M,D,N
April,4,2,20,Control,R1_20200412_3F_left(2).MP4,36295,22.0684,0,49.407,49.327,5760.201,10.54,85.787,10.525,26.798,1053.325,-5663.012,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Old Tag,N,,H,S,N
April,4,2,20,Control,R1_20200412_3F_left(2).MP4,40684,23.2888,1973.531,45.793,14.776,5773.111,2.953,85.843,34.232,64.373,-290.379,-5765.444,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,H,D,N
April,4,2,20,Control,R1_20200412_3F_left(3).MP4,4477,25.1977,5029.665,87.246,27.797,7585.441,17.142,58.551,26.262,2203.514,377.899,-7248.491,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,M,D,N
April,4,2,20,Control,R1_20200412_3F_left(3).MP4,5416,25.4588,2422.236,37.577,12.462,5912.063,6.694,61.498,42.673,-557.9,-404.559,-5871.76,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,H,S,N
April,4,2,20,Control,R1_20200412_3F_left(3).MP4,6453,25.7471,3692.641,21.351,9.749,5124.689,6.435,19.546,18.218,573.811,-24.823,-5092.402,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,Taken from Pecotral,M,S,N
April,4,3,21,Boat01,R1_20200412_3F_left(5).MP4,24636,54.7558,2904.82,56.867,75.836,6522.329,24.031,75.37,39.76,2401.058,1135.595,-5957.023,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,M,S,N
April,4,3,21,Boat01,R1_20200412_3F_left(5).MP4,29278,56.0465,5828.746,56.289,6.318,4292.488,2.34,89.24,8.951,-174.705,14.246,-4288.907,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Old Tag,N,,M,D,N
April,4,3,21,Boat01,R1_20200412_3F_left(5).MP4,40736,59.2325,1708.41,48.482,8.043,5694.235,10.86,84.112,21.379,-799.763,715.051,-5592.262,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,H,D,N
April,4,3,21,Boat01,R1_20200412_3F_left(5).MP4,42217,59.6443,3278.857,48.272,30.067,5074.085,1.754,81.681,15.898,-153.03,-26.742,-5071.706,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,H,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,31334,68.5946,2675.162,60.553,31.152,6384.315,6.362,60.3,2.148,-525.373,473.713,-6345.003,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,31700,68.6964,940.236,32.919,17.174,5126.992,13.555,56.378,14.553,-950.249,735.541,-4984.18,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Reaction - whole body spasm,H,D,Y
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,32511,68.9219,4110.414,79.071,16.553,7178.057,14.296,62.468,17.942,-1747.873,-294.505,-6955.768,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,34239,69.4024,4238.709,90.427,26.383,7131.921,8.345,84.822,19.027,-750.681,-712.729,-7056.401,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,35357,69.7133,3351.764,77.131,38.655,6588.636,3.025,78.808,8.611,-252.236,239.35,-6579.453,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,37449,70.2949,2683.464,71.89,31.369,6623.782,8.338,80.964,13.828,327.666,902.955,-6553.762,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,38446,70.5722,2501.449,63.871,22.182,6521.326,3.609,61.957,0.215,194.225,361.643,-6508.394,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(6).MP4,40489,71.1402,1974.483,56.704,19.398,6355.417,11.84,79.655,27.124,-499.813,1204.429,-6220.198,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Reaction - quick head spasm,H,D,Y
April,4,4,22,Boat01,R1_20200412_3F_left(7).MP4,1906,72.3884,5367.852,95.74,17.419,6936.14,4.711,83.756,19.057,338.709,-457.969,-6912.711,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,R1_20200412_3F_left(7).MP4,4469,73.1011,5774.349,88.56,36.417,6979.559,18.204,68.238,19.69,-1658.174,1415.951,-6630.217,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,S,N
April,4,4,22,Boat01,R1_20200412_3F_left(7).MP4,21783,77.9153,3657.953,61.653,4.793,6178.204,11.799,61.09,3.37,-1090.258,638.208,-6047.664,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,3376,0.9387,461.61,10.896,34.484,2740.907,13.562,70.636,10.135,304.284,-566.13,-2664.485,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,4521,1.2571,4042.937,8143.03,5.766,2458.401,9.041,83.063,4.5,-336.146,-190.365,-2427.86,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Measurement from Dorsal,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,5254,1.4609,4586.093,52.307,25.553,5204.007,12.018,64.352,14.049,-420.359,-998.71,-5089.948,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,bait,AD,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,13785,3.833,6885.954,98.906,25.771,6597.426,12,80.394,18.736,778.56,1129.376,-6453.246,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,20577,5.7215,2697.986,34.134,11.892,4609.89,15.661,67.791,16.925,-447.171,-1161.309,-4438.748,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Measurement from Dorsal,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,25450,7.0765,2499.326,42.32,6.61,5309.338,15.288,59.88,1.866,-1114.303,-847.43,-5121.451,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,H,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,25785,7.1697,2221.395,19.931,11.556,4406.255,4.057,46.585,35.258,-173.289,-259.179,-4395.211,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,H,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,29175,8.1123,2152.969,32.226,13.347,4728.983,18.416,85.509,33.172,-1484.39,168.634,-4486.806,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,5,23,Control,R5_20200412_3F_left.MP4,31142,8.6592,2727.383,43.755,16.779,5274.622,9.17,67.71,17.549,-618.475,-569.316,-5207.207,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Reaction - quick head spasm,M,D,Y
April,4,5,23,Control,R5_20200412_3F_left.MP4,33144,9.2159,2146.576,26.028,10.882,3860.945,0.908,84.486,20.775,50.546,34.507,-3860.46,BH,20200617,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,H,D,N
April,4,7,24,Boat01,R7_20200412_3H_left(2).MP4,1469,12.5628,0,49.04,53.736,5638.071,4.972,83.44,7.31,252.532,418.312,-5616.857,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,New Tagged,N,Touch bait line,H,S,N
April,4,7,24,Boat01,R7_20200412_3H_left(2).MP4,3719,13.1885,0,24.925,142.985,4076.093,12.558,87.465,6.649,-227.415,856.552,-3978.585,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Feeding,Marlin,N,Touch bait line,H,S,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,9822,2.7311,3298.941,32.673,88.846,3833.296,4.603,86.633,12.006,275.373,-137.076,-3820.934,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,S,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,12419,3.4532,3425.627,35.754,83.781,4120.85,2.264,75.696,10.966,-96.438,-131.147,-4117.634,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Measured from top of caudal fin,M,D,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,25428,7.0704,4354.262,65.696,69.324,6324.825,3.047,56.788,3.387,307.531,-135.919,-6315.882,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,L,D,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,27443,7.6307,3525.172,35.719,119.407,4324.165,1.564,69.887,18.082,-45.979,-108.696,-4322.554,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,S,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,30260,8.414,12582.466,10000.072,8.708,1292.16,88.532,73.842,1.182,-1290.273,61.464,-33.093,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,36975,10.2811,3461.005,44.727,86.816,4840.465,4.34,69.383,4.246,-22.285,-365.626,-4826.585,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,7,24,Boat01,R7_20200412_3H_left.MP4,39255,10.9151,3319.479,37.664,56.596,4267.687,2.439,75.367,6.463,-141.112,-114.342,-4263.821,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,R8_20200412_3H_left(2).MP4,2530,12.8845,6350.635,151.477,54.791,8784.648,10.078,72.589,1.79,1513.1,271.585,-8649.093,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
April,4,8,25,Boat01,R8_20200412_3H_left(2).MP4,5055,13.5866,3505.875,10000.024,5.985,1270.103,19.119,81.909,1.306,-415.67,-16.447,-1200.045,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,R8_20200412_3H_left(2).MP4,7693,14.3201,1642.934,16.364,166.829,3486.632,10.608,53.164,19.934,-532.31,-358.582,-3427.049,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,,M,D,N
April,4,8,25,Boat01,R8_20200412_3H_left(2).MP4,10917,15.2166,2976.276,28.732,27.662,4149.446,3.603,56.535,5.564,-260.742,4.361,-4141.244,20210618,TH,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,New Tagged,N,Measured from dorsal,M,D,N
