trip,trial,AT,det,ID,react,Reaction 2,count,PropD,PropS
1,1,D,Boat01,Tia,N,0,4,0.5,0.5
1,1,S,Boat01,Tia,N,0,1,0.5,0.5
1,2,D,Boat01,Tia,N,0,3,1,0
1,2,D,Boat01,Tia,Y,1,2,1,0
1,3,D,Boat01,Tia,N,0,1,0.5,0.5
1,3,S,Boat01,Tia,N,0,2,0.5,0.5
2,4,D,Control,Elfie,N,0,1,1,0
2,5,D,Control,Elfie,N,0,1,1,0
3,6,D,Boat01,Unknown,N,0,2,0.666666667,0.333333333
3,6,D,Boat01,White Spot,N,0,1,0.666666667,0.333333333
3,6,S,Boat01,Unknown,N,0,1,0.666666667,0.333333333
3,7,D,Control,Small,N,0,2,0.5,0.5
3,7,D,Control,White Spot,N,0,1,0.5,0.5
3,7,S,Control,Small,N,0,2,0.5,0.5
3,7,S,Control,Unknown,N,0,1,0.5,0.5
3,8,D,Control,Shark 4,N,0,1,0.25,0.75
3,8,S,Control,Shark 4,N,0,1,0.25,0.75
3,8,S,Control,Unknown,N,0,1,0.25,0.75
3,8,S,Control,White Spot,N,0,1,0.25,0.75
3,9,D,Control,Shark 4,N,0,3,0.5,0.5
3,9,S,Control,Shark 4,N,0,4,0.5,0.5
3,10,D,Boat01,Shark 4,N,0,5,0.6,0.4
3,10,D,Boat01,Small,N,0,1,0.6,0.4
3,10,D,Boat01,Unknown,N,0,1,0.6,0.4
3,10,S,Boat01,Shark 4,N,0,3,0.6,0.4
3,10,S,Boat01,Small,N,0,1,0.6,0.4
3,11,D,Control,Shark 4,N,0,2,1,0
3,11,D,Control,Unknown,N,0,1,1,0
3,12,D,Boat01,Bully,N,0,5,0.6,0.4
3,12,D,Boat01,Itchy,N,0,5,0.6,0.4
3,12,D,Boat01,Scratchy,N,0,1,0.6,0.4
3,12,S,Boat01,Itchy,N,0,6,0.6,0.4
3,12,S,Boat01,Scratchy,N,0,1,0.6,0.4
3,13,D,Control,Unknown,N,0,4,0.333333333,0.666666667
3,13,S,Control,Itchy,N,0,2,0.333333333,0.666666667
3,13,S,Control,Unknown,N,0,1,0.333333333,0.666666667
3,14,D,Control,Unknown,N,0,5,0.333333333,0.666666667
3,14,S,Control,Itchy,N,0,2,0.333333333,0.666666667
3,14,S,Control,Unknown,N,0,4,0.333333333,0.666666667
3,15,D,Boat01,Itchy,N,0,9,0.6,0.4
3,15,D,Boat01,Scratchy,N,0,1,0.6,0.4
3,15,D,Boat01,Unknown,N,0,3,0.6,0.4
3,15,S,Boat01,Itchy,N,0,4,0.6,0.4
3,15,S,Boat01,Unknown,N,0,1,0.6,0.4
3,16,D,Boat01,Itchy,N,0,2,0.5,0.5
3,16,D,Boat01,Kachow,N,0,2,0.5,0.5
3,16,D,Boat01,Unknown,N,0,2,0.5,0.5
3,16,S,Boat01,Itchy,N,0,4,0.5,0.5
3,16,S,Boat01,Kachow,Y,1,1,0.5,0.5
3,16,S,Boat01,Unknown,N,0,1,0.5,0.5
4,17,D,Boat01,Shark 1,N,0,2,0.5,0.5
4,17,S,Boat01,Shark 1,N,0,1,0.5,0.5
4,18,D,Control,Shark 1,N,0,1,1,0
4,18,D,Control,Shark 1,Y,1,1,1,0
4,18,D,Control,Shark 2,N,0,3,1,0
4,19,D,Boat01,Old Tag,N,0,2,0.666666667,0.333333333
4,19,D,Boat01,Old Tag,Y,1,1,0.666666667,0.333333333
4,19,S,Boat01,Old Tag,N,0,1,0.666666667,0.333333333
4,20,D,Control,Old Tag,N,0,3,0.5,0.5
4,20,S,Control,Old Tag,N,0,3,0.5,0.5
4,21,D,Boat01,New Tagged,N,0,2,0.666666667,0.333333333
4,21,D,Boat01,Old Tag,N,0,1,0.666666667,0.333333333
4,21,S,Boat01,Old Tag,N,0,1,0.666666667,0.333333333
4,22,D,Boat01,New Tagged,N,0,5,0.75,0.25
4,22,D,Boat01,New Tagged,Y,1,2,0.75,0.25
4,22,D,Boat01,Unknown,N,0,3,0.75,0.25
4,22,S,Boat01,New Tagged,N,0,1,0.75,0.25
4,23,D,Control,New Tagged,N,0,9,1,0
4,23,D,Control,New Tagged,Y,1,1,1,0
4,24,D,Boat01,New Tagged,N,0,4,0.5,0.5
4,24,D,Boat01,Unknown,N,0,1,0.5,0.5
4,24,S,Boat01,Marlin,N,0,1,0.5,0.5
4,24,S,Boat01,New Tagged,N,0,3,0.5,0.5
4,25,D,Boat01,New Tagged,N,0,8,1,0
4,25,D,Boat01,New Tagged,Y,1,2,1,0
4,25,D,Boat01,Unknown,N,0,5,1,0
4,26,D,Control,New Tagged,N,0,2,1,0
4,27,D,Control,New tagged,N,0,4,0.5,0.5
4,27,D,Control,New Tagged,N,0,3,0.5,0.5
4,27,S,Control,New Tagged,N,0,1,0.5,0.5
4,27,S,Control,Old Tag,N,0,1,0.5,0.5
4,28,D,Boat01,New Tagged,N,0,3,1,0
4,29,D,Control,Unknown,N,0,3,1,0
4,30,D,Boat01,Old Tag,N,0,3,1,0
4,30,D,Boat01,Old Tag,Y,1,2,1,0
4,31,D,Boat01,Marlin,N,0,2,0.5,0.5
4,31,S,Boat01,Marlin,N,0,2,0.5,0.5
4,32,D,Boat01,Colleen,N,0,2,0.4,0.6
4,32,D,Boat01,Old Tag,N,0,1,0.4,0.6
4,32,S,Boat01,Old tag,N,0,1,0.4,0.6
4,32,S,Boat01,Old Tag,N,0,18,0.4,0.6
4,32,S,Boat01,Old Tag,Y,1,3,0.4,0.6
4,33,D,Control,Colleen,N,0,2,0.5,0.5
4,33,D,Control,Old Tag,N,0,1,0.5,0.5
4,33,S,Control,Colleen,N,0,1,0.5,0.5
4,33,S,Control,Old Tag,N,0,3,0.5,0.5
4,34,D,Boat01,Colleen,N,0,1,0.333333333,0.666666667
4,34,S,Boat01,Old Tag,N,0,23,0.333333333,0.666666667
4,34,S,Boat01,Old Tag,Y,1,2,0.333333333,0.666666667
4,35,D,Control,Old Tag,N,0,1,0.5,0.5
4,35,S,Control,Old Tag,N,0,2,0.5,0.5
4,36,D,Boat01,Marlin,N,0,1,0.333333333,0.666666667
4,36,S,Boat01,Marlin,N,0,4,0.333333333,0.666666667
4,36,S,Boat01,Old Tag,N,0,1,0.333333333,0.666666667
4,37,D,Boat01,Old Tag,N,0,1,0.333333333,0.666666667
4,37,S,Boat01,Marlin,N,0,3,0.333333333,0.666666667
4,37,S,Boat01,Marlin,Y,1,1,0.333333333,0.666666667
4,38,D,Control,Old tag,N,0,1,0.666666667,0.333333333
4,38,D,Control,Old Tag,N,0,1,0.666666667,0.333333333
4,38,S,Control,Old Tag,Y,1,1,0.666666667,0.333333333
4,39,D,Control,Marlin,N,0,3,1,0
4,39,D,Control,Old Tag,N,0,1,1,0
4,40,D,Boat01,Marlin,N,0,3,0.666666667,0.333333333
4,40,D,Boat01,Unknown,N,0,1,0.666666667,0.333333333
4,40,S,Boat01,Marlin,N,0,1,0.666666667,0.333333333
4,41,D,Boat01,Marlin,N,0,4,0.5,0.5
4,41,S,Boat01,Marlin,N,0,3,0.5,0.5
4,42,D,Control,Marlin,N,0,2,1,0
4,42,D,Control,Old Tag,N,0,3,1,0
4,43,S,Boat01,Marlin,N,0,2,0,1
4,44,D,Boat01,Maeve,N,0,7,0.5,0.5
4,44,S,Boat01,Maeve,N,0,1,0.5,0.5
4,45,S,Control,Maeve,N,0,1,0,1
4,46,D,Boat01,Old Tag,N,0,2,0.333333333,0.666666667
4,46,S,Boat01,Maeve,N,0,1,0.333333333,0.666666667
4,46,S,Boat01,Old Tag,N,0,2,0.333333333,0.666666667
4,47,D,Control,Old Tag,N,0,1,1,0
4,48,D,Control,Unknown,N,0,2,0.5,0.5
4,48,S,Control,Old Tag,N,0,5,0.5,0.5
4,49,D,Control,New Tagged,N,0,1,1,0
4,50,D,Boat01,New Tagged,N,0,3,1,0
4,51,D,Control,Scar Face,N,0,1,0.5,0.5
4,51,S,Control,Scar Face,N,0,1,0.5,0.5
4,52,D,Boat01,Clippy,N,0,1,1,0
4,52,D,Boat01,Flat Top,N,0,1,1,0
4,52,D,Boat01,Unknown,N,0,1,1,0
4,53,D,Control,New Tagged,N,0,2,1,0
4,54,D,Control,Clippy,N,0,3,0.5,0.5
4,54,S,Control,Clippy,N,0,2,0.5,0.5
4,55,D,Control,Clippy,N,0,2,1,0
4,56,D,Boat01,Clippy,N,0,2,1,0
4,56,D,Boat01,Marlin,N,0,3,1,0
4,56,D,Boat01,Marlin,Y,1,1,1,0
4,57,D,Control,Marlin,N,0,2,1,0
4,57,D,Control,Marlin,Y,1,1,1,0
4,58,D,Control,Scar Face,N,0,2,0.666666667,0.333333333
4,58,D,Control,Staple,N,0,1,0.666666667,0.333333333
4,58,S,Control,Staple,N,0,1,0.666666667,0.333333333
4,59,D,Boat01,Clippy,N,0,6,0.666666667,0.333333333
4,59,D,Boat01,Staple,N,0,17,0.666666667,0.333333333
4,59,D,Boat01,Staple,Y,1,6,0.666666667,0.333333333
4,59,D,Boat01,Unknown,N,0,1,0.666666667,0.333333333
4,59,S,Boat01,Staple,N,0,5,0.666666667,0.333333333
4,59,S,Boat01,Staple,Y,1,1,0.666666667,0.333333333
4,60,D,Boat01,Staple,N,0,1,0.5,0.5
4,60,S,Boat01,Staple,N,0,2,0.5,0.5
4,61,D,Control,Staple,N,0,9,0.5,0.5
4,61,S,Control,Staple,N,0,1,0.5,0.5
4,62,D,Boat01,Staple,N,0,3,0.666666667,0.333333333
4,62,D,Boat01,Unknown,N,0,3,0.666666667,0.333333333
4,62,S,Boat01,Staple,N,0,3,0.666666667,0.333333333
4,63,D,Control,Clippy,N,0,1,0.5,0.5
4,63,S,Control,Clippy,N,0,1,0.5,0.5
4,64,D,Boat01,Staple,N,0,2,1,0
4,64,D,Boat01,Unknown,N,0,1,1,0