trip,trial,det,ID,reaction,appr
2,1,Control,Elfie,N,1
2,2,Control,Elfie,N,3
2,2,Control,Elfie,Y,3
2,2,Control,Old tag,N,3
2,3,Boat01,Tommy,N,7
3,4,Boat01,Small,N,1
3,4,Boat01,White Spot,N,6
3,4,Boat01,White Spot,Y,1
3,5,Control,White Spot,N,2
3,6,Control,Small,N,5
3,6,Control,White Spot,N,2
3,7,Boat01,Flat Top,N,2
3,8,Boat01,Flat Top,N,1
3,9,Control,Shark 4,N,3
3,9,Control,White Spot,N,2
3,9,Control,White Spot,Y,1
3,10,Control,Flat Top,N,1
3,10,Control,Shark 4,N,12
3,10,Control,Small,N,3
3,11,Boat01,Flat Top,N,1
3,11,Boat01,Shark 4,N,2
3,11,Boat01,Small,N,15
3,11,Boat01,Small,Y,2
3,12,Control,Flat Top,N,1
3,12,Control,Scratchy,N,2
3,12,Control,Shark 4,N,6
3,12,Control,Small,N,4
3,13,Boat01,Itchy,N,16
3,13,Boat01,New ,N,9
3,13,Boat01,New ,Y,1
3,13,Boat01,Scratchy,N,3
3,14,Control,Itchy,N,20
3,14,Control,Itchy,Y,1
3,14,Control,Unknown,N,4
3,15,Boat01,Itchy,N,16
3,15,Boat01,Itchy,Y,1
3,15,Boat01,Unknown,N,1
3,16,Control,Itchy,N,22
3,16,Control,Unknown,N,6
3,17,Boat01,Itchy,N,19
3,17,Boat01,Scratchy,N,3
3,17,Boat01,Scratchy,Y,1
3,17,Boat01,Unknown,N,3
3,18,Boat01,Itchy,N,9
3,18,Boat01,Shark 4,N,8
3,18,Boat01,Unknown,N,5
3,18,Boat01,Unknown,Y,1
3,19,Control,Unknown,N,1
3,20,Control,B.I.G,N,8
3,20,Control,Flat Top,N,2
3,20,Control,Itchy,N,5
4,21,Boat01,Shark 1,N,1
4,21,Boat01,Unknown,N,1
4,22,Control,Shark 1,N,1
4,22,Control,Shark 2,N,1
4,22,Control,Unknown,N,29
4,22,Control,Unknown,Y,1
4,23,Boat01,Old tag,N,1
4,23,Boat01,Unknown,N,5
4,23,Boat01,Unknown,Y,1
4,24,Control,Unknown,N,9
4,25,Boat01,New tagged,N,6
4,25,Boat01,Unknown,N,5
4,26,Boat01,New tagged,N,4
4,26,Boat01,Unknown,N,4
4,26,Boat01,Unknown,Y,3
4,27,Control,New tagged,N,1
4,27,Control,Unknown,N,10
4,27,Control,Unknown,Y,1
4,28,Control,New tagged,N,6
4,28,Control,Old tag,N,5
4,28,Control,Unknown,N,5
4,28,Control,Unknown,Y,1
4,29,Boat01,Marlin,N,1
4,29,Boat01,New tagged,N,4
4,29,Boat01,Unknown,N,6
4,29,Boat01,Unknown,Y,1
4,30,Boat01,New tagged,N,4
4,30,Boat01,Unknown,N,13
4,31,Control,Marlin,N,1
4,31,Control,New tagged,N,1
4,32,Control,New tagged,N,7
4,32,Control,Old tag,N,2
4,32,Control,Unknown,N,11
4,33,Boat01,New tagged,N,3
4,33,Boat01,Unknown,N,20
4,33,Boat01,Unknown,Y,1
4,34,Boat01,New tagged,N,2
4,34,Boat01,Unknown,N,4
4,35,Control,Maeve ,N,1
4,35,Control,Unknown,N,5
4,36,Control,Maeve ,N,1
4,36,Control,New tagged,N,9
4,36,Control,Unknown,N,3
4,37,Boat01,Old tag,N,37
4,38,Boat01,Marlin,N,3
4,39,Control,Old tag,N,7
4,39,Control,Old tag,Y,1
4,39,Control,Unknown,N,2
4,40,Boat01,Old tag,N,28
4,40,Boat01,Old tag,Y,3
4,40,Boat01,Unknown,N,3
4,41,Control,Old tag,N,5
4,42,Boat01,Marlin,N,6
4,42,Boat01,Old tag,N,4
4,43,Boat01,Marlin,N,8
4,43,Boat01,Marlin,Y,1
4,43,Boat01,Old tag,N,3
4,44,Control,Marlin,N,1
4,44,Control,Old tag,N,8
4,44,Control,Old tag,Y,1
4,45,Control,Marlin,N,9
4,45,Control,Old tag,N,3
4,46,Boat01,Marlin,N,6
4,46,Boat01,Marlin,Y,1
4,46,Boat01,Old tag,N,1
4,47,Boat01,Marlin,N,11
4,47,Boat01,Marlin,Y,1
4,47,Boat01,Old tag,N,1
4,48,Control,Marlin,N,5
4,48,Control,Old tag,N,7
4,48,Control,Old tag,Y,1
4,48,Control,Unknown,N,1
4,49,Boat01,Old tag,N,3
4,49,Boat01,Old tag,Y,1
4,50,Boat01,Marlin,N,3
4,50,Boat01,Marlin,Y,1
4,51,Control,Marlin,N,3
4,51,Control,New tagged,N,11
4,52,Boat01,Marlin,N,1
4,52,Boat01,Old tag,N,7
4,52,Boat01,Old tag,Y,3
4,53,Boat01,Maeve,N,6
4,53,Boat01,Maeve,Y,1
4,54,Control,Maeve,N,5
4,55,Control,Maeve,N,5
4,55,Control,Old tag,N,3
4,56,Boat01,Maeve,N,4
4,57,Boat01,Maeve,N,3
4,57,Boat01,Old tag,N,6
4,57,Boat01,Old tag,Y,1
4,57,Control,Marlin,N,5
4,57,Control,Old tag,N,1
4,58,Boat01,Old tag,N,26
4,58,Boat01,Old tag,Y,6
4,58,Boat01,Unknown,N,2
4,59,Control,New tagged,N,11
4,59,Control,Old tag,N,2
4,60,Control,Old tag,N,1
4,61,Control,Old tag,N,12
4,61,Control,Old tag,Y,3
4,61,Control,Unknown,N,2
4,62,Boat01,Flat top,N,1
4,62,Boat01,New tagged,N,12
4,62,Boat01,New tagged,Y,2
4,63,Control,New tagged,N,7
4,63,Control,Unknown,N,2
4,64,Boat01,New tagged,N,16
4,64,Boat01,New tagged,Y,2
4,65,Control,Flat top,N,2
4,65,Control,New tagged,N,5
4,65,Control,Scar face,N,4
4,65,Control,Unknown,N,3
4,66,Boat01,Clippy,N,3
4,66,Boat01,Flat top,N,3
4,66,Boat01,Flat top,Y,1
4,66,Boat01,New tagged,N,7
4,66,Boat01,New tagged,Y,1
4,66,Boat01,Unknown,N,1
4,67,Boat01,New tagged,N,1
4,67,Boat01,New tagged,Y,1
4,67,Boat01,Unknown,N,4
4,68,Control,Flat top,N,1
4,68,Control,New tagged,N,5
4,68,Control,Scar face,N,4
4,68,Control,Unknown,N,2
4,69,Boat01,New tagged,N,1
4,69,Boat01,Scar face,N,3
4,69,Boat01,Scar face,Y,1
4,70,Control,Clippy,N,7
4,70,Control,Flat top,N,1
4,71,Boat01,Clippy,N,1
4,71,Boat01,New tagged,N,1
4,71,Boat01,Scar face,N,5
4,72,Control,Clippy,N,3
4,72,Control,Clippy,Y,1
4,73,Boat01,Clippy,N,3
4,73,Boat01,Clippy,Y,1
4,73,Boat01,Marlin,N,7
4,73,Boat01,Marlin,Y,4
4,74,Control,Marlin,N,4
4,75,Control,Scar face,N,5
4,76,Boat01,Clippy,N,7
4,76,Boat01,New tagged,N,26
4,76,Boat01,New tagged,Y,5
4,76,Boat01,Unknown,N,2
4,77,Boat01,New tagged,N,4
4,78,Control,New tagged,N,20
4,78,Control,Unknown,N,1
4,79,Boat01,Marlin,N,2
4,79,Boat01,New tagged,N,8
4,79,Boat01,Unknown,N,1
4,80,Control,Clippy,N,1
4,80,Control,New tagged,N,2
4,81,Boat01,New tagged,N,3
4,81,Boat01,Unknown,N,2